contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,download_time
AAL250815C00016500,2025-08-11 14:07:16+00:00,16.5,0.24,0.0,0.01,0.0,0.0,1.0,64,2.000005,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00017000,2025-08-12 19:30:42+00:00,17.0,0.02,0.0,0.01,0.0,0.0,2.0,2171,2.2500043749999996,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00017500,2025-07-21 15:26:56+00:00,17.5,0.03,0.0,0.01,0.0,0.0,,1,2.50000375,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00018000,2025-08-13 15:42:11+00:00,18.0,0.01,0.0,0.01,0.0,0.0,1.0,1990,2.6250034375,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00019000,2025-08-12 16:04:27+00:00,19.0,0.01,0.0,0.01,0.0,0.0,12.0,895,3.0000025,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00020000,2025-08-13 19:56:17+00:00,20.0,0.01,0.0,0.01,0.0,0.0,1.0,1184,3.3750015624999996,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00021000,2025-08-11 16:21:14+00:00,21.0,0.2,0.0,0.01,0.0,0.0,1.0,1437,3.6250009375000003,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00022000,2025-08-11 16:21:14+00:00,22.0,0.01,0.0,0.01,0.0,0.0,1.0,140,3.8750003125,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00023000,2025-08-12 13:46:15+00:00,23.0,0.06,0.0,0.01,0.0,0.0,1.0,152,4.2500046875,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00024000,2025-08-12 15:14:04+00:00,24.0,0.01,0.0,0.01,0.0,0.0,5.0,1437,4.500004375,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00025000,2025-07-29 19:48:02+00:00,25.0,0.01,0.0,0.01,0.0,0.0,5.0,186,4.7500040624999995,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00030000,2025-08-12 13:49:10+00:00,30.0,0.01,0.0,0.03,0.0,0.0,5.0,117,6.625001718750001,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815C00035000,2025-08-14 13:30:02+00:00,35.0,0.01,0.0,0.01,0.0,0.0,1.0,78,6.7500015625000005,False,REGULAR,USD,CALL,2025-08-15,2025-08-15 02:54:33.912494
AAL250815P00001000,2025-07-30 14:50:01+00:00,1.0,0.01,0.0,0.01,0.0,0.0,1.0,4,19.000004062500004,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00002000,2025-08-13 13:49:40+00:00,2.0,0.01,0.0,0.01,0.0,0.0,1.0,19,13.5000015625,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00003000,2025-08-14 13:45:23+00:00,3.0,0.01,0.0,0.01,0.0,0.0,1.0,3,10.500003437500002,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00004000,2025-08-12 14:54:09+00:00,4.0,0.01,0.0,0.01,0.0,0.0,1.0,13,8.500004687499999,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00005000,2025-08-14 16:33:57+00:00,5.0,0.1,0.0,0.1,0.009999998,11.111108,1.0,164,9.75000390625,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
